id,name,vendor_sku,change_to
74369,Shorty Idle Adjustment Screw Rubber,35-1255,
79066,Shovelhead Engine Plaque,48-0044,
53433,SIDE MOUNT LICENSE PLATE IND,565-0183,
61124,Side Valve Feed Pump Kit,12-0110,
80193,Side Valve Feed Pump Upgrade,49-1877,
94815,Side Valve Feed Pump Upgrade,49-0094,
79080,Silver Dollar Concho Set,48-0133,
77321,Simi Chrome Polishing Paste,41-0117,
72518,Skull Style Ornament Chrome,33-1932,
79330,Skull with Wings Medallion Set,48-1323,
92720,Small Magnetic Docking Points Cover Set Chrome,37-1156,
92722,Small Magnetic Docking Points Cover Set Gloss Black,37-1157,
82117,Small Motorcycle Charm,68-0037,
75465,SMOOTH ALLEN KIT,37-4047,
75532,Socket Cap Bolt Chrome 1/4 inch-20 x 2-1/2 inch,37-6955,
92905,Socket Lever Pin Set Chrome,37-8823,
45910,SOFTAIL SWING ARM BUMPERS 00-17 SOFTAILS,820-5384,
79164,Spare Parts Book for 1949-1957 Panhead,48-0314,
63122,Sprocket Duo-Seal Nut and Lock Kit,17-1490,
86212,Sprocket Lock Tab,17-0905,
86474,Sprocket Washer Spacer,17-9242,
72374,Square 12 Volt Dual USB Power Charger,33-1724,
75250,"Stainless Steel Hose Clamps, #24 Size",37-0812,
504730,Stainless Steel Top Motor Mount,31-1802,
74423,Stainless Steel Worm Clamp with Phillips Screw,35-1442,
71556,Stamped Female Crimp Terminals,32-9644,
71555,Stamped Male Crimp Terminals,32-9643,
86718,Starter Block Off Kit Zinc,18-1136,
77420,Starter Cover Chrome,42-0152,
77494,Starter Cover Chrome 1-Piece,42-0347,
77495,Starter Cover Chrome 3-Piece,42-0349,
506517,Starter Insulator,32-2937,
90937,Starter Lock Plate,32-9229,
90952,Starter Lock Plate,32-9281,
90951,Starter Lock Plate,32-9280,
56888,STARTING FLUID 7.5OZ (12/CASE  SOLD EA),59-9086,
513019,Steel Sprocket Washer 1.120 inch x .0640 inch,37-1112,
60961,Steel Valve Lift Kit,11-9227,
90255,Stock Coil Chrome Dual Fire,32-0512,
77295,Straight Oil Tube Fitting,40-9992,
46298,STRETCHED TANK `10-UP FLH/FLT,827-05580,
66532,Support Rod Stud Repair Kit,2433-18,
92653,Switch Mounting Screws,37-0882,
92935,Switch Terminal Screws and Washers,37-8916,
47444,SWOOP CHIN SCOOP M8 SOFTAIL,827-05737,
