normalized_part_number,bucket,member_count,distinct_real_canonical_ids,canonical_ids,skus
E250091BD3,multiple_real,2,2,112878|153586,21130666|VT-32-1895
1705405MLS,multiple_real,3,3,91215|140542|168132,09341596|WPS-681-4011|VT-15-1345
BDLPA133118,multiple_real,2,2,146873|169703,VT-20-4001|VT-20-0586
47OFP,multiple_real,2,2,92892|146838,DS360417|VT-20-0900
161800,multiple_real,2,2,130393|154767,WPS-820-52361|VT-33-1175
161801,multiple_real,2,2,130394|154768,WPS-820-52362|VT-33-1176
161802,multiple_real,2,2,130395|154769,WPS-820-52363|VT-33-1177
161803,multiple_real,2,2,130396|154771,WPS-820-52364|VT-33-1178
3200360,multiple_real,2,2,105959|142232,09220158|VT-10-3515
81029,multiple_real,3,3,115447|98509|156791,10102125|07100282|VT-35-0472
JGI81FLH,multiple_real,2,2,144432|114131,VT-15-0855|DS173408
1704092MLS,multiple_real,3,3,144541|140616|91188,VT-15-1362|WPS-681-4384|09340947
2022300,multiple_real,2,2,99739|143260,09263207|VT-11-2344
70220,multiple_real,2,2,130460|153886,WPS-820-53223|VT-32-7220
77000,multiple_real,2,2,157148|168199,VT-35-1673|VT-15-1532
056268,multiple_real,2,2,130488|97669,WPS-820-54207|16020137
6141SE2,multiple_real,2,2,95995|146787,DS360098|VT-20-0616
45EVSH,multiple_real,2,2,96001|146840,DS360416|VT-20-0903
NA1749662,multiple_real,3,2,101539|173389,21200403|WPS-850-08121|VT-32-6543
A8972,multiple_real,2,2,94005|179119,09500368|VT-10-0466
S770145ACDS,multiple_real,2,2,162850|92125,VT-49-1695|35010865
280108,multiple_real,2,2,130587|130586,WPS-820-70456|WPS-820-70455
217520,multiple_real,2,2,115376|142270,09251365|VT-10-5276
KB258.020,multiple_real,2,2,143182|103641,VT-11-2219|WPS-824-01003
302866,multiple_real,2,2,130599|163596,WPS-820-80005|VT-51-0049
KB305.005,multiple_real,2,2,104176|143206,WPS-824-01007|VT-11-2258
KB266.005,multiple_real,2,2,103713|143185,WPS-824-01013|VT-11-2223
KB266.010,multiple_real,2,2,103791|143186,WPS-824-01014|VT-11-2224
KB288.010,multiple_real,2,2,130633|143194,WPS-824-01152|VT-11-2236
KB297.020,multiple_real,2,2,103989|143202,WPS-824-01159|VT-11-2254
KB272.STD,multiple_real,2,2,130641|143189,WPS-824-01256|VT-11-2228
KB348.STD,multiple_real,2,2,104360|143211,WPS-824-01361|VT-11-2274
148420,multiple_real,2,2,93370|131619,11320698|WPS-820-54690
78092,multiple_real,2,2,97042|158782,DS193809|VT-38-0661
A4361292,multiple_real,2,2,92485|176943,DS195407|VT-44-0236
471064,multiple_real,3,2,92746|157323,10090215|WPS-24-71064|VT-35-4764
352104,multiple_real,2,2,118802|175791,24010690|VT-37-9537
77003,multiple_real,2,2,117467|152389,24010646|VT-31-0846
S770151,multiple_real,2,2,98035|177759,35011179|VT-49-1420
A2491858,multiple_real,2,2,92148|166811,10120103|VT-12-1513
1013030016,multiple_real,2,2,92838|157670,DS223538|VT-36-2477
3193010003,multiple_real,2,2,116202|146175,DS223757|VT-18-1217
202014,multiple_real,3,3,99629|140276|166239,09260329|WPS-191-17008|VT-11-6094
24571,multiple_real,2,2,178671|175676,VT-73-0040|VT-37-9056
20724,multiple_real,3,3,115835|132131|174353,19133013|WPS-830-1130|VT-35-0377
A11019,multiple_real,2,2,92331|166681,DS188013|VT-12-1159
70199Z,multiple_real,2,2,146243|146201,VT-18-3648|VT-18-3128
78256,multiple_real,2,2,144789|160453,VT-15-8256|VT-42-1210
70253,multiple_real,2,2,112718|153758,21070287|VT-32-3100
5013210068,multiple_real,2,2,92812|167016,DS223760|VT-13-0163
A11016,multiple_real,2,2,92334|166611,DS188012|VT-12-0938
A6067885,multiple_real,2,2,92346|166642,DS188082|VT-12-0969
40130063014,multiple_real,2,2,92820|169486,DS223354|VT-18-3251
A3757444,multiple_real,2,2,93973|166992,11320621|VT-13-0138
A2403270,multiple_real,2,2,93982|179110,DS196136|VT-10-0442
A2462140,multiple_real,2,2,93977|179026,DS194098|VT-10-0208
A2403370,multiple_real,2,2,93997|179111,DS196137|VT-10-0443
204280,multiple_real,2,2,94688|169106,DS199409|VT-17-8232
1013040012,multiple_real,2,2,95453|174770,DS223593|VT-36-0768
344,multiple_real,2,2,153765|118212,VT-32-3440|17420065
78285,multiple_real,2,2,144812|160163,VT-15-8285|VT-42-0263
210242,multiple_real,2,2,172404|131531,VT-31-0242|WPS-820-50805
T030162,multiple_real,2,2,91832|175874,07110242|VT-40-0921
710464,multiple_real,2,2,91153|132658,09262971|WPS-191-37032
334246,multiple_real,2,2,102596|166921,09320126|VT-12-9907
