normalized_part_number,vendor_combo,member_count,skus
6209,PU+VTWIN,2,VT-12-0361|18010590
A8876A,PU+VTWIN,2,VT-12-0366|09240585
LM11949,VTWIN,2,VT-12-0382|VT-44-0406
70252,PU+VTWIN,2,VT-32-3097|21070286
20158,VTWIN,2,VT-25-0952|VT-17-2018
5041,VTWIN+WPS,2,WPS-830-5021|VT-37-8992
66101,PU+VTWIN,2,VT-25-1753|05020574
50314,PU+VTWIN,2,VT-25-2002|44020602
2401680,PU+VTWIN,2,VT-12-0609|DS198835
2250,VTWIN,2,VT-12-0706|VT-30-0257
A11494,PU+VTWIN,2,VT-12-0753|09250283
A2403903,PU+VTWIN,2,VT-12-0817|09500361
4002,VTWIN,2,VT-12-0901|VT-51-0991
A11096,PU+VTWIN,2,VT-12-0923|DS188029
A11067,PU+VTWIN,2,VT-12-0928|DS188022
A11177,PU+VTWIN,2,VT-12-0946|DS188039
A3790484,PU+VTWIN,2,VT-12-0953|DS188073
A3790784,PU+VTWIN,2,VT-12-0955|DS188075
A3508799A,PU+VTWIN,2,VT-12-1308|11060029
A2640082,PU+VTWIN,2,VT-12-1417|09320075
A2555679,PU+VTWIN,2,VT-12-1429|DS194169
2632662A,VTWIN,2,VT-12-1436|VT-12-0174
A25302SET,PU+VTWIN,2,VT-12-1510|DS194159
A2470354,PU+VTWIN,2,VT-12-1521|09500288
20194,VTWIN,2,VT-12-1533|VT-25-0863
3251,PU+VTWIN,2,VT-12-1779|10120269
A1683054,PU+VTWIN,2,VT-12-2113|09310317
334241,PU+VTWIN,2,VT-12-9906|09320124
77834,VTWIN,2,VT-14-7834|VT-15-0376
A3408779A,PU+VTWIN,2,VT-13-0132|11060048
JGI2685899,PU+VTWIN,2,DS173232|VT-14-0811
JGI12067A,PU+VTWIN,2,DS194088|VT-14-0972
76742,VTWIN,2,VT-14-0583|VT-47-6742
JGI12013A,PU+VTWIN,2,VT-14-0603|DS174475
JGI12043A,PU+VTWIN,2,VT-14-0612|DS173506
JGI12044A,PU+VTWIN,2,VT-14-0613|DS174476
JGI12050,PU+VTWIN,2,VT-14-0616|DS194476
JGI2622758,PU+VTWIN,2,VT-14-0623|DS194425
JGI3134180DL,PU+VTWIN,2,VT-14-0629|DS174486
JGI3403552,PU+VTWIN,2,VT-14-0631|DS194440
JGI3403636,PU+VTWIN,2,VT-14-0632|DS174477
JGI4540075,PU+VTWIN,2,VT-14-0650|DS174540
JGI4587584,PU+VTWIN,2,VT-14-0654|DS173345
JGI6064174,PU+VTWIN,2,VT-14-0660|DS194462
JGI6352957,PU+VTWIN,2,VT-14-0662|DS174310
JGI12045M,PU+VTWIN,2,VT-14-0677|DS173423
JGI11291,PU+VTWIN,2,VT-14-0687|DS173208
JGI12077,PU+VTWIN,2,VT-14-0697|09350405
JGI12066A,PU+VTWIN,2,VT-14-0698|09350122
JGI12035B,PU+VTWIN,2,VT-14-0821|DS173536
MCRLY2,VTWIN+WPS,2,WPS-275-01091|VT-32-0642
JGI6709687,PU+VTWIN,2,VT-14-0966|09346502
77825,VTWIN,2,VT-14-7825|VT-27-0440
77835,VTWIN,2,VT-14-7835|VT-44-0750
S410195006003,VTWIN,2,VT-15-0109|VT-15-0110
JGI2625741,PU+VTWIN,2,VT-15-0130|DS174732
S410195010007,VTWIN,2,VT-15-0139|VT-15-0146
70296,VTWIN,2,VT-15-0150|VT-32-3109
170347,PU,2,10120232|17420468
120011B,VTWIN,2,VT-15-0301|VT-33-0299
63296A,VTWIN,2,VT-15-0535|VT-15-0547
63074A,VTWIN,2,VT-15-0586|VT-15-0566
JGI3490685,PU+VTWIN,2,VT-15-0702|DS174350
JGI6532483A,PU+VTWIN,2,VT-15-0712|DS174735
JGI1703383,PU+VTWIN,2,VT-15-0824|DS173342
JGI1704092,PU+VTWIN,2,VT-15-0825|DS173250
JGI1703383A,PU+VTWIN,2,VT-15-0859|DS173251
JGI6053881A,PU+VTWIN,2,VT-15-0906|09341722
JGI6056765,PU+VTWIN,2,VT-15-0915|DS174430
JGI2522536C,PU+VTWIN,2,VT-15-0928|DS174510
JGI2541670,PU+VTWIN,2,VT-15-0934|DS174790
JGI3490194,PU+VTWIN,2,VT-15-0937|DS174322
JGI2624668A,PU+VTWIN,2,VT-15-0940|DS174427
JGI2627680A,PU+VTWIN,2,VT-15-0955|DS174829
JGI2627692,PU+VTWIN,2,VT-15-0957|DS174432
JGI1677663,PU+VTWIN,2,VT-15-0987|DS174408
JGI1677748,PU+VTWIN,2,VT-15-0988|DS174420
77827,VTWIN,2,VT-15-7827|VT-33-1468
JGI1735684,PU+VTWIN,2,VT-15-0998|DS174916
JGI1735684A,PU+VTWIN,2,VT-15-0999|DS174412
JGI1735692,PU+VTWIN,2,VT-15-1000|DS174419
JGI3252136,PU+VTWIN,2,VT-15-1030|DS174436
JGI3329536,PU+VTWIN,2,VT-15-1035|DS174895
JGI3456552,PU+VTWIN,2,VT-15-1037|DS174897
JGI6055980,PU+VTWIN,2,VT-15-1064|DS174443
JGI6583468A,PU+VTWIN,2,VT-15-1098|DS174745
JGI6243293,PU+VTWIN,2,VT-15-1120|DS174520
JGI1677084X,PU+VTWIN,2,VT-15-1132|DS173439
JGI1795536,PU+VTWIN,2,VT-15-1137|DS173499
1677084MLS,PU+WPS,2,WPS-681-4480|09340954
JGI3143384A,PU+VTWIN,2,VT-15-1151|DS174346
