id,name,vendor_sku,change_to
82040,ITEMS INCLUDED IN SERVICE,60-2222,Remove
82039,ITEMS INCLUDED IN SERVICE,60-1111,Remove
85476,James Rocker Cover Breather Seal,15-1448,
84715,James Super Nut Seal,14-0685,
63161,Kick Cover Filler Plug,17-1869,
62877,Kick Cover Lever Bushing Zicad Plated,17-0354,
519004,Knucklehead 1940-1947 Repair Manual,48-0501,
61219,Knucklehead Breather Stud Kit,12-0997,
79179,Knucklehead Engine Plaque,48-0470,Memorabilia - art
93289,Knucklehead Tank Stainless Steel Trim Set 1940-46,38-6679,Tank trim
70189,Knuckle Nut Set Cadmium Plated,3190-4,
70188,Knuckle Nut Set Chrome Plated,3189-4,
70190,Knuckle Nut Set Parkerized,3191-4,
92718,Large Magnetic Docking Points Cover Set Chrome,37-1154,Timing points cover
92719,Large Magnetic Docking Points Cover Set Gloss Black,37-1155,Timing points cover
72606,LED Stop Lamp,33-2241,
91405,Left Bearing Bushing Screws,3375-3,
72544,Lens Grill V Style Chrome,33-2020,Lighting lens
56160,LICENSE SUPPORT `18-25 SCOUT BOBBER,561-9741BK,
63033,Lock and Ring Kit,17-0926,
63035,Lock Tab Assortment,17-0940,
94883,Long Headbolt,49-0276,
76170,Lower Left Outer Tank shifter Tab,38-0848,
91847,M8 58mm Throttle Body,35-1307,Throttle body
75842,M8 Engine Bolt Cover Kit Black,37-9547,Engine hardware
75841,M8 Engine Bolt Cover Kit Chrome,37-9546,Engine hardware
523838,M8 Front Engine Hex Flange Bolt,73-3555,Engine hardware
77775,M8 Timer Cover Black,42-1229,Timing points cover
77776,M8 Timer Cover Chrome,42-1230,Timing points cover
82605,M8 x 1.25 Flange Nut Zinc,73-0402,
27653,Magic Power Blocks™,21130318,
86300,Main Bearing Race .002,17-1137,
63083,Main Bearing Race .005,17-1138,
86301,Main Bearing Race .010,17-1139,
63082,Main Bearing Race Standard,17-1136,
82674,Manifold Nipple Kit Weld-On Type,7627-4,
24356,Mechanic Bar Stool,99050228,Memorabilia -  bar stool
66007,Mega Neck Cup Set Zinc Plated,24-0308,
79284,Metal Motorcycle Key Holder,48-0947,Memorabilia - home
79145,Midwest Motorcyle Supply Hat Pink,48-0282,"Gear, hat"
79154,MISC ITEM,48-0303,Remove
82096,Motorcycle Cookie Cutter,68-0016,Memorabilia - home
