"product_id","sku","brand","source_vendor","name","image_url_status","image_url_content_type","good_catalog_media_remaining","classification"
"12499","10102048","TRASK","PU","Assault Charge High-Flow Air Cleaner - Raw","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"21981","18610695","DRAG SPECIALTIES","PU","Weld-in O2 Bungs - 12mm - 45°","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"26943","35011867","BILTWELL","PU","EXFIL-36 Saddlebags - Black","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"36412","10103216","TRASK","PU","Assault Charge High-Flow Air Cleaner Kit - Chrome","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"15686","16211155","SLYFOX","PU","Mini Floorboards - Chrome Polished - Male Mount","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"21714","17414093","MAGNUM SHIELDING","PU","Brake Line - 10 mm-90° - 30"" - Black Pearl","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"28327","DP916","DP Brakes","PU","Standard Brake Pads - Honda","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"31532","09350085","James Gasket","PU","Intake Manifold Seal Kit - #1671 Edelbrock® manifold","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"16009","35011962","THRASHIN SUPPLY CO.","PU","Hard Mount Bag Brackets","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"27408","03360017","COASTAL MOTO","PU","Hurricane 3D Rear Right Wheel - Chrome (18"") | Falken Tire (215/45ZR18)","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"7670","23500377","MEMPHIS SHADES","PU","Windshield Trim - Black - Oval - FLH","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"16532","03360037","COASTAL MOTO","PU","Daytona Rear Wheel - Chrome (18"") | Dunlop AE Tire (180/55B18)","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"28632","12220669","DRAG SPECIALTIES","PU","530 Series - O-Ring Chain - 106 Links","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"29735","07060150","DRAG SPECIALTIES","PU","Fuel/Oil Line - 1/4"" - 3'","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"752","14010191","DRAG SPECIALTIES","PU","Front Fender - Raw - FXSTS '93-'06","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
